student_id,first,last,email,grade_level,major,gpa
9241839,Lee,GLOVER,LeeGL40@usf.edu,Sophmore,united states history,2
9411761,Badr,HINTON,BadrHI15@usf.edu,Junior,linguistics and comparative language and literature,2.25
3131759,Seumus,MCKEE,SeumusMC85@usf.edu,Senior,microbiology,1.5625
4734832,Sam,ROACH,SamRO12@usf.edu,Freshman,public administration,2.25
3485536,Barbara-Louise,GILLESPIE,Barbara-LouiseGI79@usf.edu,Freshman,mechanical engineering related technologies,1.875
5616786,Samantha-Lee,HILL,Samantha-LeeHI24@usf.edu,Sophmore,hospitality management,2.1875
1216869,Sergio,POOLE,SergioPO93@usf.edu,Freshman,actuarial science,1.125
2947913,Maryellen,GLENN,MaryellenGL37@usf.edu,Junior,community and public health,2.125
3499627,Melea,WERNER,MeleaWE76@usf.edu,Sophmore,environmental engineering,1.75
7979945,Kerina,BUTLER,KerinaBU26@usf.edu,Freshman,neuroscience,2.125
8246875,Akash,GORDON,AkashGO14@usf.edu,Sophmore,communication disorders sciences and services,2.0625
3346838,Ka,TERRELL,KaTE99@usf.edu,Freshman,applied mathematics,2.375
5649342,Methven,ATKINSON,MethvenAT25@usf.edu,Junior,finance,1.875
5717745,Rolf,STANLEY,RolfST64@usf.edu,Junior,miscellaneous engineering technologies,2.33333
7929387,Donald,COOKE,DonaldCO88@usf.edu,Senior,business economics,2.1875
2939193,Jasmina,BYRD,JasminaBY73@usf.edu,Freshman,human services and community organization,2.125
4356127,Norlin,POWERS,NorlinPO48@usf.edu,Senior,library science,2.1875
1447639,Lesley-Ann,BECKER,Lesley-AnnBE38@usf.edu,Junior,industrial production technologies,1.95833
8896233,Sai,PALMER,SaiPA22@usf.edu,Senior,industrial production technologies,2.1875
7947329,Rieka,HUNT,RiekaHU12@usf.edu,Sophmore,civil engineering,2.3125
3494533,Micah,VASQUEZ,MicahVA46@usf.edu,Freshman,treatment therapy professions,2.375
9756117,Sedrik,WATSON,SedrikWA20@usf.edu,Senior,area ethnic and civilization studies,1.96875
8877593,Jemima,BRADFORD,JemimaBR25@usf.edu,Sophmore,early childhood education,2.125
1686889,Ling,KAISER,LingKA98@usf.edu,Freshman,management information systems and statistics,2
8522554,Ciara,HULL,CiaraHU93@usf.edu,Sophmore,art and music education,2.125
5929472,Wendy-Jane,ESTRADA,Wendy-JaneES66@usf.edu,Senior,international relations,2
1249633,Lyndzey,FIELDS,LyndzeyFI35@usf.edu,Sophmore,materials engineering and materials science,2.1875
5492213,Shawna,BAXTER,ShawnaBA21@usf.edu,Junior,business economics,2.625
1919342,Jaspal,BEARD,JaspalBE29@usf.edu,Junior,physical fitness parks recreation and leisure,1.83333
6436895,Seth,RICE,SethRI87@usf.edu,Freshman,metallurgical engineering,2
8992468,Donia,WOODWARD,DoniaWO29@usf.edu,Senior,architectural engineering,1.59375
3956597,Mariessa,HANSEN,MariessaHA52@usf.edu,Freshman,geosciences,0.625
8119196,Laurie,BRAUN,LaurieBR11@usf.edu,Junior,criminal justice and fire protection,2.16667
9466229,Leith,REED,LeithRE07@usf.edu,Freshman,communication technologies,1.875
6657329,Jaine,STEPHENSON,JaineST50@usf.edu,Junior,linguistics and comparative language and literature,2.75
4262765,Mobashira,CUMMINGS,MobashiraCU68@usf.edu,Senior,studio arts,2.46875
5316271,Dyfrig,MADDEN,DyfrigMA07@usf.edu,Junior,elementary education,2.20833
3755689,Imran-Ul-Haq,HOOD,Imran-Ul-HaqHO77@usf.edu,Junior,miscellaneous health medical professions,1.875
8958289,Arthur,CHRISTIAN,ArthurCH71@usf.edu,Senior,criminal justice and fire protection,1.6875
2133298,Eli,CHRISTENSEN,EliCH73@usf.edu,Sophmore,miscellaneous business & medical administration,2.125
5334459,Andres,LEACH,AndresLE88@usf.edu,Sophmore,statistics and decision science,1.875
2297177,Gaye,GIBBS,GayeGI83@usf.edu,Freshman,mechanical engineering,1.625
7255167,Fulton,NOLAN,FultonNO56@usf.edu,Junior,physical fitness parks recreation and leisure,2
4998614,Alessandro,HALE,AlessandroHA19@usf.edu,Sophmore,industrial production technologies,1.5
8543373,Shubhankar,KENNEDY,ShubhankarKE95@usf.edu,Junior,multi-disciplinary or general science,1.58333
3793867,Ernest,MAXWELL,ErnestMA92@usf.edu,Junior,geosciences,1.54167
8746967,Dawnna,VASQUEZ,DawnnaVA41@usf.edu,Sophmore,metallurgical engineering,1.8125
4899345,Jodie,BENTON,JodieBE89@usf.edu,Sophmore,computer engineering,2.75
5127369,Donaldson,POOLE,DonaldsonPO10@usf.edu,Freshman,biological engineering,1.75
2683338,Brigid,HARDIN,BrigidHA36@usf.edu,Freshman,astronomy and astrophysics,2.25
7232478,Waqaas,WOODARD,WaqaasWO91@usf.edu,Sophmore,miscellaneous agriculture,2.0625
9336125,Neva,MCDOWELL,NevaMC04@usf.edu,Sophmore,pre-law and legal studies,1.6875
9122643,Amrik,MATHEWS,AmrikMA27@usf.edu,Sophmore,naval architecture and marine engineering,1.6875
8684421,Blaire,DICKERSON,BlaireDI75@usf.edu,Freshman,general education,2
1567799,Shamsher,MYERS,ShamsherMY56@usf.edu,Junior,management information systems and statistics,2.29167
7616759,Heather-Mairi,MARTINEZ,Heather-MairiMA19@usf.edu,Freshman,geology and earth science,1.75
7237452,Isaac,ANDREWS,IsaacAN59@usf.edu,Sophmore,miscellaneous health medical professions,2.6875
4686936,Sinead,WILCOX,SineadWI26@usf.edu,Freshman,biomedical engineering,1.125
8112955,Martin,MORTON,MartinMO80@usf.edu,Sophmore,natural resources management,2.375
6342741,Jaspal,CHANG,JaspalCH70@usf.edu,Sophmore,counseling psychology,1.6875
5363943,Jenness-Louise,PATTON,Jenness-LouisePA91@usf.edu,Junior,forestry,1.66667
7251397,Frazier,ROLLINS,FrazierRO30@usf.edu,Junior,mass media,1.875
7328479,Darin,CAMACHO,DarinCA48@usf.edu,Senior,commercial art and graphic design,2.375
2931634,Jennifer,JOSEPH,JenniferJO19@usf.edu,Freshman,military technologies,1.125
2451858,Amar,DIAZ,AmarDI66@usf.edu,Sophmore,interdisciplinary social sciences,1.875
1426586,Sarean,BUCK,SareanBU14@usf.edu,Senior,physical fitness parks recreation and leisure,2.03125
4284284,Carolynn,DODSON,CarolynnDO51@usf.edu,Freshman,environmental engineering,2
1536151,Carey,RODRIGUEZ,CareyRO23@usf.edu,Sophmore,electrical,2.1875
7239616,Tom,PEREZ,TomPE00@usf.edu,Senior,molecular biology,1.90625
1513733,Raymond,CORDOVA,RaymondCO19@usf.edu,Sophmore,animal sciences,2.3125
5748997,Hayden,CHEN,HaydenCH89@usf.edu,Junior,civil engineering,2.25
3778895,Janita,ESCOBAR,JanitaES87@usf.edu,Sophmore,liberal arts,1.5625
4377447,Aimi,CHUNG,AimiCH80@usf.edu,Freshman,biomedical engineering,1.75
2572858,Corrin,HUGHES,CorrinHU45@usf.edu,Senior,biology,2.125
2757519,Jeff,NOVAK,JeffNO38@usf.edu,Senior,history,1.9375
1556138,Jackie,PEREZ,JackiePE48@usf.edu,Senior,information sciences,1.96875
4775731,Aynsley,BLACKBURN,AynsleyBL69@usf.edu,Senior,special needs education,1.8125
9742729,Claudia,ONEAL,ClaudiaON41@usf.edu,Freshman,film video and photographic arts,2
7864237,Annette,SNOW,AnnetteSN12@usf.edu,Sophmore,miscellaneous engineering technologies,1.8125
2453815,Carolyn,CHANG,CarolynCH16@usf.edu,Junior,chemical engineering,1.70833
