uid,username,password,type
9241839,LeeGL40@usf.edu,GLOVER,S
9411761,BadrHI15@usf.edu,HINTON,S
3131759,SeumusMC85@usf.edu,MCKEE,S
4734832,SamRO12@usf.edu,ROACH,S
3485536,Barbara-LouiseGI79@usf.edu,GILLESPIE,S
5616786,Samantha-LeeHI24@usf.edu,HILL,S
1216869,SergioPO93@usf.edu,POOLE,S
2947913,MaryellenGL37@usf.edu,GLENN,S
3499627,MeleaWE76@usf.edu,WERNER,S
7979945,KerinaBU26@usf.edu,BUTLER,S
8246875,AkashGO14@usf.edu,GORDON,S
3346838,KaTE99@usf.edu,TERRELL,S
5649342,MethvenAT25@usf.edu,ATKINSON,S
5717745,RolfST64@usf.edu,STANLEY,S
7929387,DonaldCO88@usf.edu,COOKE,S
2939193,JasminaBY73@usf.edu,BYRD,S
4356127,NorlinPO48@usf.edu,POWERS,S
1447639,Lesley-AnnBE38@usf.edu,BECKER,S
8896233,SaiPA22@usf.edu,PALMER,S
7947329,RiekaHU12@usf.edu,HUNT,S
3494533,MicahVA46@usf.edu,VASQUEZ,S
9756117,SedrikWA20@usf.edu,WATSON,S
8877593,JemimaBR25@usf.edu,BRADFORD,S
1686889,LingKA98@usf.edu,KAISER,S
8522554,CiaraHU93@usf.edu,HULL,S
5929472,Wendy-JaneES66@usf.edu,ESTRADA,S
1249633,LyndzeyFI35@usf.edu,FIELDS,S
5492213,ShawnaBA21@usf.edu,BAXTER,S
1919342,JaspalBE29@usf.edu,BEARD,S
6436895,SethRI87@usf.edu,RICE,S
8992468,DoniaWO29@usf.edu,WOODWARD,S
3956597,MariessaHA52@usf.edu,HANSEN,S
8119196,LaurieBR11@usf.edu,BRAUN,S
9466229,LeithRE07@usf.edu,REED,S
6657329,JaineST50@usf.edu,STEPHENSON,S
4262765,MobashiraCU68@usf.edu,CUMMINGS,S
5316271,DyfrigMA07@usf.edu,MADDEN,S
3755689,Imran-Ul-HaqHO77@usf.edu,HOOD,S
8958289,ArthurCH71@usf.edu,CHRISTIAN,S
2133298,EliCH73@usf.edu,CHRISTENSEN,S
5334459,AndresLE88@usf.edu,LEACH,S
